"m","reps","seed","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10"
0.3,13,4264807718808600576,0.0020845932,0.002116425,0.0020328454,0.0021424166,0.00207248965,0.002153877,0.0020816387,0.00209120975,0.00204221805,0.00208407665
0.4,13,3190486002030118400,0.0017420535,0.0018582285,0.00189984715,0.0018765642,0.0018903504,0.00184575985,0.0018249375,0.00188913455,0.0018418981,0.0018982711
0.5,13,3617925690120487424,0.00177846425,0.0017698877,0.00181234665,0.00185464235,0.001735452,0.0018025792,0.00178017635,0.001752593,0.001741481,0.00174069855
0.0001,14,4086585114332175872,0.0001942001,0.00028716795,0.0002896887,0.0002119643,0.00077423825,0.000184505,0,0.000187304,0.0004706566,0
0.001,14,2906583400279242240,0.00125790425,0.00105171165,0.00112783515,0.00119113955,0.0007331754,0.0012796196,0.0012892767,0.0011851844,0.00131955775,0.00142687385
0.01,14,4735254085341257728,0.00170112785,0.0018602859,0.0017208805,0.00196813165,0.0016493112,0.00172112155,0.0018184195,0.0017835427,0.0017009822,0.00169176835
0.015,14,7227744423564346368,0.0020079681,0.0019744837,0.00188950455,0.0018973775,0.0017813782,0.00195278115,0.00191447255,0.00196533275,0.0019576423,0.00194724735
0.1,14,2605540629037398528,0.00191761595,0.00192043,0.0019304733,0.0018233347,0.00187746095,0.00186603015,0.00183100535,0.00185052065,0.0018273754,0.00186794745
0.15,14,8229569326875654144,0.00195424535,0.001913513,0.00184170805,0.00197733675,0.00192832645,0.0019246657,0.00186556115,0.00192791,0.0019064156,0.00187656695
0.2,14,8334000864459478016,0.0019381662,0.00196721055,0.00198666445,0.00195254095,0.00196194325,0.00200337675,0.00189735355,0.0018162282,0.00185277265,0.00191179285
0.3,14,4970234931544987648,0.0020797644,0.00207897915,0.0020610944,0.00207341365,0.00205855665,0.00204582815,0.0020255927,0.00204901875,0.00193939475,0.002007681
0.4,14,3093872290828455936,0.0018710556,0.00138657615,0.0018542627,0.00186256925,0.00187809805,0.00182859835,0.0018939106,0.00193777195,0.0018637266,0.0019353034
0.5,14,8135363633845727232,0.0020287916,0.00201811105,0.00208258855,0.0021080058,0.00196699375,0.00202855165,0.00203984195,0.00202128545,0.0020300205,0.0020558388
0.0001,15,3208455865756762624,0.0002885476,0.0002602767,0.00005539705,0.0001440612,0.00023717465,0.0003069417,0.0001927585,0.0002277913,0.00025593865,0.00023637995
0.001,15,8507212500058401792,0.0002072321,0.001222875,0.00049906835,0.00115402265,0.0014938414,0.00006001445,0.0016485195,0.00080638425,0.0011880603,0.00074952465
0.01,15,2220189626000532992,0.0020456928,0.0019518093,0.0019058327,0.00197385145,0.0018557489,0.00194463895,0.00066003375,0.0019568517,0.0018703416,0.00190022535
0.015,15,6304986212742294528,0.0017151536,0.00174823745,0.00171592005,0.0016635741,0.00166591585,0.00164026205,0.00176609155,0.00078579645,0.00167528405,0.00168700705
0.1,15,1709247983159146752,0.00191156265,0.0018611918,0.0018510409,0.00191779055,0.00189559825,0.00195052215,0.0017789856,0.00197556755,0.00191297465,0.00185514665
0.15,15,745608921287163136,0.00191229115,0.00192446845,0.00188223685,0.00201125365,0.001922222,0.00200900845,0.00190248255,0.001945405,0.0020097218,0.00203160395
0.2,15,5096578137234349056,0.00201804845,0.0020559898,0.00193869345,0.0018979443,0.00193703355,0.00196106495,0.00199128055,0.0020530147,0.00197060655,0.00200927885
0.3,15,7981172472147432448,0.0018975386,0.00199411955,0.00196187235,0.0019151856,0.001880267,0.0019114904,0.0019129036,0.00196375345,0.00195524145,0.00194601185
0.4,15,1881520794587357440,0.00213052175,0.00216200395,0.00210505715,0.0021683862,0.0021892407,0.00211080745,0.002082124,0.002129094,0.00213762625,0.00216989485
0.5,15,8092354134573239296,0.00185560615,0.00187731505,0.0019005527,0.00190257035,0.00184861135,0.00183350795,0.00191283825,0.00192467895,0.0019245209,0.0018721291
0.0001,16,1402910366439653632,0.0000805024,0.0002600472,0.0002779914,0.00011626255,0.00030450775,0.0000467466,0.0002415271,0.0000069495,0.0006095119,0.00017742705
0.001,16,1738887046508913920,0.00123675935,0.00126234625,0.00135657645,0.0015820506,0.00151429195,0.00151231195,0.00146617905,0.0006292417,0.0013494822,0.0010869919
0.01,16,1403734462986360576,0.0019417277,0.0021075603,0.00068681205,0.00206830135,0.002052701,0.0021266823,0.00209124065,0.00211297965,0.0022314207,0.0020748636
0.015,16,7917318001560152064,0.0018397672,0.0018085425,0.00175080815,0.0018845205,0.0018529712,0.0017468111,0.0018345017,0.001811528,0.00182037,0.00177520425
0.1,16,731198468910185088,0.0019089602,0.00181729395,0.0020015526,0.0017809831,0.00189352705,0.0018828242,0.0018864327,0.00195391935,0.0019229684,0.00184601615
0.15,16,3990289692488431616,0.0018275614,0.00185583515,0.0019025875,0.00191276105,0.00184317475,0.0019538744,0.00179525435,0.00186356395,0.00186321415,0.0018785871
0.2,16,2765740270301942784,0.0020302942,0.00196392325,0.002005956,0.0019457018,0.00206831165,0.00204461415,0.00190239385,0.00194399345,0.0020439835,0.00197670555
0.3,16,7029985578703748096,0.0021376953,0.0020848786,0.0019894326,0.0020049926,0.0020444943,0.0021199089,0.00209248125,0.002064226,0.00212458195,0.00212627225
